traceId,requestId,operationName,startMillis,startDay,startTime,endMillis,endDay,endTime
2635857273617943127,41325d6a-3589-4442-9aba-fe9859b5fe7e-span-1,TargetingHcp,1708369669934,2024-02-19,19:07:49.934,1708369670106,2024-02-19,19:07:50.106
4364915529584466781,6e8195ba-9da2-4224-98a1-e57ceefc6858-span-1,TargetingHcp,1708381324332,2024-02-19,22:22:04.332,1708381324439,2024-02-19,22:22:04.439
5404415858919513553,d888f8d7-315f-44dd-8f13-b8dbebb12b90-span-1,GetPipelineUnalignedTerritoryRollups,1708445695163,2024-02-20,16:14:55.163,1708445700180,2024-02-20,16:15:00.180
6837367351120338150,76f78beb-41ee-4876-8969-17b6c9901d3c-span-1,HcpReferralHcpCount,1708457849602,2024-02-20,19:37:29.602,1708457854623,2024-02-20,19:37:34.623
2440181202270225748,76f78beb-41ee-4876-8969-17b6c9901d3c-span-1,HcpReferralHcpCount,1708457910716,2024-02-20,19:38:30.716,1708457910720,2024-02-20,19:38:30.720
3768724988837253466,ff44f8f8-e13d-476b-ab38-26a0f9c40db2-span-1,QbtOmnisearch,1708460342523,2024-02-20,20:19:02.523,1708460342849,2024-02-20,20:19:02.849
2447541330796392971,53970e06-547a-4115-b866-80ae9b3d3355-span-1,HcpReferralHcpCount,1708462602034,2024-02-20,20:56:42.034,1708462607049,2024-02-20,20:56:47.049
4646049928188283335,53970e06-547a-4115-b866-80ae9b3d3355-span-1,HcpReferralHcpCount,1708462607737,2024-02-20,20:56:47.737,1708462609790,2024-02-20,20:56:49.790
6552249355483828336,922aa79c-5e8b-41ab-ae97-e5dc75cbb2aa-span-1,HcpReferralHcpCount,1708463608726,2024-02-20,21:13:28.726,1708463613738,2024-02-20,21:13:33.738
3454203634016181625,2621ea3b-d2aa-4be0-ba0a-81df234119e8-span-1,HcpReferralHcpCount,1708466153222,2024-02-20,21:55:53.222,1708466158231,2024-02-20,21:55:58.231
2068127433375216858,2621ea3b-d2aa-4be0-ba0a-81df234119e8-span-1,HcpReferralHcpCount,1708466214678,2024-02-20,21:56:54.678,1708466214684,2024-02-20,21:56:54.684
5983642108455712203,bfc32794-5ec5-46ac-85c4-cd0c58068336-span-1,QbtGetHcpProfileReport,1708467116311,2024-02-20,22:11:56.311,1708467119531,2024-02-20,22:11:59.531
3705078272600310981,bfc32794-5ec5-46ac-85c4-cd0c58068336-span-1,QbtGetHcpProfileReport,1708467178370,2024-02-20,22:12:58.370,1708467178379,2024-02-20,22:12:58.379
